"Sample_ID","Customer_Name","Subject_Barcode","female","male","full_sib","CIP","DArT"
"24-PEP-02-P02B11S000082","24-PEP-02-P02_B11","CIP318112.105","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02B12S000090","24-PEP-02-P02_B12","CIP318112.106","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02C01S000003","24-PEP-02-P02_C01","CIP318112.114","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02C02S000011","24-PEP-02-P02_C02","CIP318112.117","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02C03S000019","24-PEP-02-P02_C03","CIP318112.120","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02C04S000027","24-PEP-02-P02_C04","CIP318113.007","CIP512010.1","CIP308498.280","CIP512010.1_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P02C05S000035","24-PEP-02-P02_C05","CIP318113.022","CIP512010.1","CIP308498.280","CIP512010.1_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P02C06S000043","24-PEP-02-P02_C06","CIP318113.044","CIP512010.1","CIP308498.280","CIP512010.1_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P02C07S000051","24-PEP-02-P02_C07","CIP318113.074","CIP512010.1","CIP308498.280","CIP512010.1_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P02C08S000059","24-PEP-02-P02_C08","CIP318113.081","CIP512010.1","CIP308498.280","CIP512010.1_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P02C09S000067","24-PEP-02-P02_C09","CIP318113.104","CIP512010.1","CIP308498.280","CIP512010.1_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P02C10S000075","24-PEP-02-P02_C10","CIP318113.116","CIP512010.1","CIP308498.280","CIP512010.1_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P02C11S000083","24-PEP-02-P02_C11","CIP318114.008","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02C12S000091","24-PEP-02-P02_C12","CIP318114.035","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D01S000004","24-PEP-02-P02_D01","CIP318114.036","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D02S000012","24-PEP-02-P02_D02","CIP318114.037","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D03S000020","24-PEP-02-P02_D03","CIP318114.043","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D04S000028","24-PEP-02-P02_D04","CIP318114.045","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D05S000036","24-PEP-02-P02_D05","CIP318114.050","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D06S000044","24-PEP-02-P02_D06","CIP318114.061","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D07S000052","24-PEP-02-P02_D07","CIP318114.065","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D08S000060","24-PEP-02-P02_D08","CIP318114.071","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D09S000068","24-PEP-02-P02_D09","CIP318114.073","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D10S000076","24-PEP-02-P02_D10","CIP318114.075","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D11S000084","24-PEP-02-P02_D11","CIP318114.076","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D12S000092","24-PEP-02-P02_D12","CIP318114.078","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02E01S000005","24-PEP-02-P02_E01","CIP318114.080","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02E02S000013","24-PEP-02-P02_E02","CIP318114.082","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02E03S000021","24-PEP-02-P02_E03","CIP318114.097","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02E04S000029","24-PEP-02-P02_E04","CIP318114.099","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02E05S000037","24-PEP-02-P02_E05","CIP318114.101","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02E06S000045","24-PEP-02-P02_E06","CIP318114.110","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02E07S000053","24-PEP-02-P02_E07","CIP318115.003","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02E08S000061","24-PEP-02-P02_E08","CIP318115.005","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02E09S000069","24-PEP-02-P02_E09","CIP318115.006","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02E10S000077","24-PEP-02-P02_E10","CIP318115.007","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02E11S000085","24-PEP-02-P02_E11","CIP318115.009","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02E12S000093","24-PEP-02-P02_E12","CIP318115.010","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F01S000006","24-PEP-02-P02_F01","CIP318115.022","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F02S000014","24-PEP-02-P02_F02","CIP318115.024","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F03S000022","24-PEP-02-P02_F03","CIP318115.025","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F04S000030","24-PEP-02-P02_F04","CIP318115.028","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F05S000038","24-PEP-02-P02_F05","CIP318115.029","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F06S000046","24-PEP-02-P02_F06","CIP318115.035","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F07S000054","24-PEP-02-P02_F07","CIP318115.039","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F08S000062","24-PEP-02-P02_F08","CIP318115.046","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F09S000070","24-PEP-02-P02_F09","CIP318115.047","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F10S000078","24-PEP-02-P02_F10","CIP318115.051","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F11S000086","24-PEP-02-P02_F11","CIP318115.053","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02F12S000094","24-PEP-02-P02_F12","CIP318115.064","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02G01S000007","24-PEP-02-P02_G01","CIP318115.067","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
